Date,Close,MA20,Value
2025-08-04,573.15,512.7,573.15
2025-08-11,575.93,518.17,575.93
2025-08-18,570.57,525.64,570.57
2025-08-25,569.01,531.45,569.01
2025-09-01,574.65,538.06,574.65
2025-09-08,585.23,543.78,585.23
2025-09-15,597.89,549.32,597.89
2025-09-22,594.51,554.73,594.51
2025-09-29,602.4,558.87,602.4
2025-10-06,588.74,562.93,588.74
2025-10-13,603.15,567.23,603.15
2025-10-20,616.31,571.64,616.31
2025-10-27,628.26,576.8,628.26
2025-11-03,608.96,581.0,608.96
2025-11-10,608.08,584.1,608.08
2025-11-17,589.31,585.82,589.31
2025-11-24,618.45,589.1,618.45
2025-12-01,624.68,592.34,624.68
2025-12-08,612.83,594.73,612.83
2025-12-15,616.26,597.92,616.26
2025-12-22,623.09,600.41,623.09
2025-12-29,613.12,602.27,613.12
2026-01-05,626.65,605.08,626.65
2026-01-12,621.26,607.69,621.26
2026-01-19,622.72,610.09,622.72
2026-01-26,621.87,611.93,621.87
2026-02-02,609.65,612.51,609.65
2026-02-09,601.92,612.88,601.92
2026-02-16,608.81,613.21,608.81
2026-02-23,609.24,614.23,609.24
